dia,producto_id,proveedor,cantidad,costo_total,dias_entrega
1,,Distribuidora XYZ,90,,2
1,,Suministros ABC,108,,3
1,,Distribuidora XYZ,120,,2
1,,Distribuidora XYZ,96,,2
1,,Ferretería Industrial,300,,4
2,,Distribuidora XYZ,90,,2
2,,Suministros ABC,108,,3
2,,Distribuidora XYZ,120,,2
2,,Distribuidora XYZ,96,,2
2,,Ferretería Industrial,300,,4
3,,Distribuidora XYZ,90,,2
3,,Suministros ABC,108,,3
3,,Distribuidora XYZ,120,,2
3,,Distribuidora XYZ,96,,2
3,,Ferretería Industrial,300,,4
4,,Suministros ABC,108,,3
4,,Ferretería Industrial,300,,4
5,,Ferretería Industrial,300,,4
14,,Distribuidora XYZ,120,,2
15,,Distribuidora XYZ,90,,2
15,,Distribuidora XYZ,120,,2
16,,Distribuidora XYZ,90,,2
16,,Distribuidora XYZ,120,,2
17,,Distribuidora XYZ,90,,2
21,,Distribuidora XYZ,120,,2
22,,Distribuidora XYZ,120,,2
23,,Distribuidora XYZ,120,,2
26,,Suministros ABC,108,,3
26,,Distribuidora XYZ,96,,2
27,,Suministros ABC,108,,3
27,,Distribuidora XYZ,96,,2
28,,Suministros ABC,108,,3
28,,Distribuidora XYZ,96,,2
29,,Suministros ABC,108,,3
30,,Distribuidora XYZ,90,,4
30,,Distribuidora XYZ,120,,2
30,,Ferretería Industrial,300,,4
