dia,producto_id,cantidad,costo_total,proveedor
3,,90,,Distribuidora XYZ
3,,120,,Distribuidora XYZ
3,,96,,Distribuidora XYZ
4,,108,,Suministros ABC
4,,90,,Distribuidora XYZ
4,,120,,Distribuidora XYZ
4,,96,,Distribuidora XYZ
5,,300,,Ferretería Industrial
5,,108,,Suministros ABC
5,,90,,Distribuidora XYZ
5,,120,,Distribuidora XYZ
5,,96,,Distribuidora XYZ
6,,108,,Suministros ABC
7,,300,,Ferretería Industrial
7,,108,,Suministros ABC
8,,300,,Ferretería Industrial
9,,300,,Ferretería Industrial
9,,300,,Ferretería Industrial
9,,90,,Distribuidora XYZ
10,,90,,Distribuidora XYZ
11,,300,,Ferretería Industrial
11,,90,,Distribuidora XYZ
16,,120,,Distribuidora XYZ
16,,96,,Distribuidora XYZ
17,,120,,Distribuidora XYZ
17,,96,,Distribuidora XYZ
18,,120,,Distribuidora XYZ
18,,96,,Distribuidora XYZ
22,,90,,Distribuidora XYZ
22,,120,,Distribuidora XYZ
23,,90,,Distribuidora XYZ
23,,120,,Distribuidora XYZ
24,,90,,Distribuidora XYZ
24,,120,,Distribuidora XYZ
31,,108,,Suministros ABC
32,,108,,Suministros ABC
32,,120,,Distribuidora XYZ
33,,108,,Suministros ABC
33,,120,,Distribuidora XYZ
34,,108,,Suministros ABC
34,,120,,Distribuidora XYZ
37,,90,,Distribuidora XYZ
38,,90,,Distribuidora XYZ
39,,90,,Distribuidora XYZ
40,,96,,Distribuidora XYZ
41,,96,,Distribuidora XYZ
42,,96,,Distribuidora XYZ
44,,96,,Distribuidora XYZ
51,,120,,Distribuidora XYZ
52,,120,,Distribuidora XYZ
53,,120,,Distribuidora XYZ
56,,300,,Ferretería Industrial
56,,300,,Ferretería Industrial
57,,300,,Ferretería Industrial
57,,300,,Ferretería Industrial
57,,90,,Distribuidora XYZ
58,,300,,Ferretería Industrial
58,,90,,Distribuidora XYZ
58,,96,,Distribuidora XYZ
59,,300,,Ferretería Industrial
59,,96,,Distribuidora XYZ
60,,300,,Ferretería Industrial
60,,96,,Distribuidora XYZ
62,,90,,Distribuidora XYZ
62,,120,,Distribuidora XYZ
63,,108,,Suministros ABC
63,,120,,Distribuidora XYZ
64,,108,,Suministros ABC
64,,120,,Distribuidora XYZ
65,,108,,Suministros ABC
65,,120,,Distribuidora XYZ
66,,108,,Suministros ABC
74,,90,,Distribuidora XYZ
75,,90,,Distribuidora XYZ
76,,90,,Distribuidora XYZ
77,,120,,Distribuidora XYZ
78,,120,,Distribuidora XYZ
79,,120,,Distribuidora XYZ
80,,96,,Distribuidora XYZ
81,,96,,Distribuidora XYZ
82,,96,,Distribuidora XYZ
86,,90,,Distribuidora XYZ
86,,120,,Distribuidora XYZ
87,,90,,Distribuidora XYZ
87,,120,,Distribuidora XYZ
88,,90,,Distribuidora XYZ
88,,120,,Distribuidora XYZ
90,,108,,Suministros ABC
91,,108,,Suministros ABC
92,,108,,Suministros ABC
93,,108,,Suministros ABC
93,,96,,Distribuidora XYZ
94,,96,,Distribuidora XYZ
95,,96,,Distribuidora XYZ
101,,90,,Distribuidora XYZ
102,,90,,Distribuidora XYZ
103,,90,,Distribuidora XYZ
107,,120,,Distribuidora XYZ
108,,120,,Distribuidora XYZ
109,,120,,Distribuidora XYZ
112,,90,,Distribuidora XYZ
113,,90,,Distribuidora XYZ
114,,90,,Distribuidora XYZ
116,,300,,Ferretería Industrial
116,,96,,Distribuidora XYZ
