dia,cliente,producto_id,cantidad,ingreso,costo
4,Taller Mecánico López,,13,26.0,9.152000000000003
5,Almacén Central (Interno),,30,36.0,15.0
5,Almacén Central (Interno),,30,27.0,9.0
6,Ferretería El Tornillo,,13,15.6,6.5
6,Ferretería El Tornillo,,19,17.1,5.7
6,Ferretería El Tornillo,,21,8.4,2.1
6,Taller Mecánico López,,13,11.700000000000001,3.9
6,Taller Mecánico López,,9,18.0,6.336000000000002
7,Construcciones Pérez,,22,26.4,11.0
7,Construcciones Pérez,,40,16.0,4.0
7,Construcciones Pérez,,76,152.0,53.50400000000001
7,Construcciones Pérez,,153,22.95,7.65
8,Taller Mecánico López,,13,11.700000000000001,3.9
8,Taller Mecánico López,,7,14.0,4.928000000000001
9,Ferretería El Tornillo,,6,7.199999999999999,3.0
9,Ferretería El Tornillo,,8,7.2,2.4
9,Ferretería El Tornillo,,13,5.2,1.3
10,Taller Mecánico López,,12,10.8,3.5999999999999996
10,Taller Mecánico López,,13,26.0,9.152000000000003
10,Almacén Central (Interno),,25,30.0,12.5
10,Almacén Central (Interno),,30,27.0,9.0
10,Almacén Central (Interno),,25,3.75,1.25
10,Ferreterías del Norte,,134,53.6,13.400000000000002
10,Ferreterías del Norte,,285,42.75,14.25
12,Ferretería El Tornillo,,8,9.6,4.0
12,Ferretería El Tornillo,,18,16.2,5.3999999999999995
12,Ferretería El Tornillo,,8,3.2,0.8
12,Taller Mecánico López,,8,7.2,2.4
12,Taller Mecánico López,,10,20.0,7.040000000000002
14,Construcciones Pérez,,66,79.2,33.0
14,Construcciones Pérez,,104,41.6,10.4
14,Construcciones Pérez,,52,104.0,36.60800000000001
14,Construcciones Pérez,,150,22.5,7.500000000000001
14,Taller Mecánico López,,8,7.2,2.4
14,Taller Mecánico López,,10,20.0,7.040000000000002
15,Ferretería El Tornillo,,20,24.0,10.0
15,Ferretería El Tornillo,,18,16.2,5.3999999999999995
15,Ferretería El Tornillo,,16,6.4,1.6
15,Almacén Central (Interno),,35,42.0,17.5
15,Almacén Central (Interno),,28,25.2,8.4
15,Almacén Central (Interno),,35,5.25,1.75
16,Taller Mecánico López,,8,7.2,2.4
16,Taller Mecánico López,,9,18.0,6.336000000000001
18,Ferretería El Tornillo,,16,19.2,8.0
18,Ferretería El Tornillo,,13,11.700000000000001,3.9
18,Ferretería El Tornillo,,9,3.6,0.9
18,Taller Mecánico López,,11,9.9,3.3
18,Taller Mecánico López,,9,18.0,6.336000000000002
20,Taller Mecánico López,,11,9.9,3.3
20,Taller Mecánico López,,15,30.0,10.560000000000002
20,Almacén Central (Interno),,31,37.199999999999996,15.5
20,Almacén Central (Interno),,29,26.1,8.7
20,Almacén Central (Interno),,30,4.5,1.5
20,Ferreterías del Norte,,140,56.0,14.0
20,Ferreterías del Norte,,193,28.95,9.65
21,Ferretería El Tornillo,,5,6.0,2.5
21,Ferretería El Tornillo,,11,9.9,3.3
21,Ferretería El Tornillo,,11,4.4,1.1
21,Construcciones Pérez,,115,138.0,57.5
21,Construcciones Pérez,,127,50.800000000000004,12.700000000000001
21,Construcciones Pérez,,92,13.799999999999999,4.6000000000000005
22,Taller Mecánico López,,10,9.0,3.0
22,Taller Mecánico López,,11,22.0,7.7440000000000015
24,Ferretería El Tornillo,,15,18.0,7.5
24,Ferretería El Tornillo,,17,15.3,5.1
24,Ferretería El Tornillo,,19,7.6000000000000005,1.9000000000000001
24,Taller Mecánico López,,8,7.2,2.4
24,Taller Mecánico López,,9,18.0,6.336000000000002
25,Almacén Central (Interno),,37,44.4,18.5
25,Almacén Central (Interno),,38,34.2,11.4
25,Almacén Central (Interno),,27,4.05,1.35
26,Taller Mecánico López,,13,11.700000000000001,3.9
26,Taller Mecánico López,,11,22.0,7.7440000000000015
27,Ferretería El Tornillo,,10,12.0,5.0
27,Ferretería El Tornillo,,12,10.8,3.5999999999999996
27,Ferretería El Tornillo,,15,6.0,1.5
28,Construcciones Pérez,,148,59.2,14.8
28,Construcciones Pérez,,105,15.75,5.25
28,Taller Mecánico López,,10,9.0,3.0
28,Taller Mecánico López,,11,22.0,7.7440000000000015
30,Ferretería El Tornillo,,21,25.2,10.5
30,Ferretería El Tornillo,,11,9.9,3.3
30,Ferretería El Tornillo,,20,8.0,2.0
30,Taller Mecánico López,,10,9.0,3.0
30,Taller Mecánico López,,11,22.0,7.7440000000000015
30,Almacén Central (Interno),,38,45.6,19.0
30,Almacén Central (Interno),,32,28.8,9.6
30,Almacén Central (Interno),,31,4.6499999999999995,1.55
30,Ferreterías del Norte,,198,79.2,19.8
30,Ferreterías del Norte,,252,37.8,12.600000000000001
